Change Component Comment : Designator=BUZZER1 Old Comment=BUZ-SMD_4P-L8.5-W8.5-P8.50-TL New Comment=2.7kHz
Change component parameters: Designator = "BUZZER1" ("BUZZER1"); Footprint = "BUZ-SMD_4P-L8.5-W8.5-P8.50-TL"; UniqueID = "\BRYMFNID" ("\BRYMFNID")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Consumption"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://atta.szlcsc.com/upload/public/pdf/source/20170522/1495448323732.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "MLT-8540"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter(fD)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Driver Circuitry"; Value = "Passive (external drive)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "MLT-8540"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "8.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "MLT-8540"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sound Pressure Level(SPL)"; Value = "80dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,8.7x8.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C95300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "MLT-8540"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "Electromagnetic Type"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2.7kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Supply"; Value = "2.5V~4.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "8.7mm"; VariantName = "[No Variations]"
Added Class: Name=buzzer
