Change Component Comment : Designator=FPC2 Old Comment=FPC-SMD_FH12-12S-0.5SH-55 New Comment=FH12-12S-0.5SH(55)
Change component parameters: Designator = "FPC2" ("FPC2"); Footprint = "FPC-SMD_FH12-12S-0.5SH-55"; UniqueID = "\JPEUBMRB" ("\JPEUBMRB")
Change component parameters (AddParameter): Name = "Add into BOM"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Bottom Contact"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Convert to PCB"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FH12-12S-0.5SH(55)/89539.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FFC, FCB Thickness"; Value = "0.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Above Board"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "??:0.5mm P?:12P ??? ??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Locking Feature"; Value = "Hinged Lid"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "HRS(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "12P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40?~+85?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "SMD,P=0.5mm,??"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part"; Value = "C88360"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FH12-12S-0.5SH(55)"; VariantName = "[No Variations]"
Added Member To Class: ClassName=TOP_TO_BOTTOM_CONT Member=Component FPC2 FH12-12S-0.5SH(55)
