Removed Pin From Net: NetName=NetC6_1 Pin=L1-1
Removed Pin From Net: NetName=NetANT1_1 Pin=L1-2
Removed Member From Class: ClassName=mcu Member=L1
Change Component Comment : Designator=C3 Old Comment=0.1 µF New Comment==Value
Change Component Comment : Designator=C4 Old Comment=1 µF New Comment==Value
Change Component Comment : Designator=C7 Old Comment=12 pF New Comment==Value
Change Component Comment : Designator=C8 Old Comment=12 pF New Comment==Value
Change Component Comment : Designator=C9 Old Comment=12 pF New Comment==Value
Change Component Comment : Designator=C10 Old Comment=12 pF New Comment==Value
Change Component Comment : Designator=C5 Old Comment=15 pF New Comment==Value
Change Component Comment : Designator=C6 Old Comment=15 pF New Comment==Value
Change component parameters: Designator = "ANT1" ("ANT1"); Footprint = "FP-2450AT18D0100E-MFG"; UniqueID = "\KJMZHTGV" ("\KJMZHTGV")
Change component parameters (AddParameter): Name = "Bandwidth"; Value = "100MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "2.45GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gain"; Value = "-1dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.047inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = "50R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part #"; Value = "C2917718"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Johanson Dielectrics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFR.Part #"; Value = "2450AT18D0100E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Bands"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
